iter_t,entropy
1,266.71257615828637
2,264.1691284253854
3,261.5527716905926
4,259.0093239576916
5,256.4294217238446
6,253.8711174549945
7,251.2034496833066
8,248.67080093290386
9,246.1381521825011
10,244.09695235594188
11,241.6372126074308
12,239.31923330925306
13,236.83952199200291
14,234.33874144942573
15,231.7024131458934
16,229.77678951155002
17,227.64729540748013
18,225.2620910571188
19,222.63656173608496
20,220.54352213296093
21,218.0273563147649
22,215.55332894722287
23,213.26649903189403
24,211.36762857258586
25,209.49172089542867
26,207.50455615860977
27,206.0312743881154
28,204.45586796695227
29,203.25174798429634
